Loan ID,Borrower ID,branch,Disbursement Date,Disbursement Amount,Savings,Salary,Interest Rate,n_guarantors,label,outcome
Loan2628129,Client47310,Ngororero,2022-01-26,880000,529969,127535,13,3,0,Normal
Loan2628161,Client3569,Ngororero,2022-01-26,900000,710148,126996,13,3,0,Normal
Loan2628261,Client50334,Rusizi,2022-01-26,955000,236067,125684,13,3,0,Normal
Loan2628303,Client126277,Kicukiro,2022-01-26,2050000,82750,175070,14,2,1,Written off
Loan2628329,Client31288,Rubavu,2022-01-26,1760000,612404,164152,13,2,0,Normal
Loan2628479,Client99362,Nyamagabe,2022-01-27,870000,205016,103337,13,3,0,Normal
Loan2628587,Client103737,Nyanza,2022-01-27,2550000,1705513,322503,13,3,0,Normal
Loan2628794,Client64936,Rusizi,2022-01-27,3300000,2493776,295524,14,2,0,Normal
Loan2629304,Client111121,Gasabo,2022-01-28,2200000,140682,206465,13,2,0,Normal
Loan2629650,Client101340,Gasabo,2022-01-28,2140000,117272,272861,13,1,0,Normal
Loan2630145,Client130312,Nyarugenge,2022-01-31,800000,388921,110798,13,2,0,Normal
Loan2630297,Client142067,Ngororero,2022-01-31,750000,260526,101120,13,3,0,Normal
Loan2630417,Client82902,Gasabo,2022-01-31,2760000,484953,152854,14,2,0,Normal
Loan2631098,Client63065,Gasabo,2022-02-02,910000,145316,134710,13,2,0,Normal
Loan2631230,Client158273,Nyagatare,2022-02-02,690000,724583,228485,13,2,1,Written off
Loan2631256,Client48069,Nyagatare,2022-02-02,2400000,1020187,270381,13,2,0,Normal
Loan2631455,Client132288,Nyagatare,2022-02-02,750000,77181,98962,13,3,0,Normal
Loan2632882,Client88792,Kicukiro,2022-02-03,1000000,249402,216900,14,2,0,Normal
Loan2632891,Client44791,Kicukiro,2022-02-03,1100000,388915,200529,13,2,0,Normal
Loan2633024,Client14278,Rubavu,2022-02-03,2860000,892647,240089,13,2,0,Normal
Loan2633046,Client109459,Rubavu,2022-02-03,2410000,1421407,277012,13,2,0,Normal
Loan2633182,Client29674,Kicukiro,2022-02-03,1540000,263772,107890,14,2,0,Normal
Loan2633190,Client133916,Rubavu,2022-02-03,775000,265950,139367,13,3,1,Written off
Loan2633207,Client64649,Rusizi,2022-02-03,2500000,2367341,340334,14,2,0,Normal
Loan2633635,Client163529,Gasabo,2022-02-04,1800000,103503,175070,14,3,1,Written off
Loan2633689,Client172753,Kicukiro,2022-02-04,1500000,103503,175070,14,3,1,Written off
Loan2633821,Client166195,Nyarugenge,2022-02-04,3500000,449658,221970,14,1,0,Normal
Loan2633876,Client163482,Nyagatare,2022-02-04,1090000,187360,221970,14,3,0,Normal
Loan2633884,Client65465,Gasabo,2022-02-04,1600000,483436,221970,14,3,0,Normal
Loan2633898,Client108559,Rubavu,2022-02-04,865000,451870,107377,13,3,0,Normal
Loan2633995,Client76022,Rubavu,2022-02-07,2470000,309323,225198,13,2,0,Normal
Loan2634066,Client3585,Ngororero,2022-02-07,1900000,1344333,176212,13,2,0,Normal
Loan2634109,Client100176,Nyanza,2022-02-07,2900000,219825,271357,13,2,0,Normal
Loan2634444,Client133892,Rubavu,2022-02-07,2200000,702600,271335,13,3,0,Normal
Loan2634701,Client166023,Nyagatare,2022-02-08,950000,185505,175070,14,3,1,Written off
Loan2634770,Client135173,Kicukiro,2022-02-08,680000,140310,221970,14,2,0,Normal
Loan2634884,Client159422,Kicukiro,2022-02-08,1170000,309131,216900,14,3,0,Normal
Loan2635040,Client70295,Ngororero,2022-02-09,750000,434446,102648,13,3,0,Normal
Loan2635165,Client10442,Gasabo,2022-02-09,1000000,493223,251958,13,3,0,Normal
Loan2635188,Client77773,Rutsiro,2022-02-09,2700000,1913361,268726,13,2,0,Normal
Loan2635215,Client24795,Rusizi,2022-02-09,1000000,210162,116401,13,3,0,Normal
Loan2635265,Client40293,Ngororero,2022-02-09,1000000,85057,123301,13,3,0,Normal
Loan2635297,Client124549,Rusizi,2022-02-09,730000,223953,98270,13,3,0,Normal
Loan2635373,Client126572,Nyagatare,2022-02-09,2400000,682384,226317,13,3,0,Normal
Loan2635479,Client166864,Nyanza,2022-02-10,199000,878516,233280,13,1,1,Written off
Loan2635594,Client86851,Nyanza,2022-02-10,2240000,991216,202716,13,2,0,Normal
Loan2635739,Client43579,Rusizi,2022-02-10,970000,811154,114501,13,2,0,Normal
Loan2636003,Client44183,Nyagatare,2022-02-11,2590000,471682,264303,13,3,0,Normal
Loan2636357,Client119853,Rubavu,2022-02-11,1970000,449658,221970,14,1,0,Normal
Loan2636395,Client73529,Nyarugenge,2022-02-11,2400000,388621,228803,13,2,0,Normal
Loan2636717,Client46190,Nyanza,2022-02-14,3870000,438565,306000,13,1,0,Normal
Loan2636882,Client124680,Nyarugenge,2022-02-14,1390000,34722,129549,13,3,0,Normal
Loan2636968,Client97076,Rusizi,2022-02-15,900000,623653,108993,13,2,0,Normal
Loan2637202,Client163762,Nyarugenge,2022-02-15,3480000,136793,175070,14,2,1,Written off
Loan2637262,Client173126,Gasabo,2022-02-15,1360000,129789,220365,14,2,0,Normal
Loan2637502,Client140558,Rubavu,2022-02-16,1895000,126673,190468,13,3,0,Normal
Loan2637584,Client79043,Rusizi,2022-02-16,955000,697182,113164,13,2,0,Normal
Loan2638734,Client28173,Nyamagabe,2022-02-17,1600000,653495,192042,13,2,0,Normal
Loan2638739,Client29597,Nyanza,2022-02-17,1160000,95760,129630,13,2,0,Normal
Loan2638809,Client77736,Rutsiro,2022-02-17,2320000,690960,209813,13,2,0,Normal
Loan2638837,Client79018,Rusizi,2022-02-17,2560000,1883076,263212,13,2,0,Normal
Loan2638900,Client54109,Rubavu,2022-02-17,2993000,493629,268446,13,2,0,Normal
Loan2639154,Client121775,Nyanza,2022-02-18,1875000,943209,227532,13,3,0,Normal
Loan2640346,Client10804,Rubavu,2022-02-18,1277000,544218,138107,13,3,0,Normal
Loan2640499,Client134040,Ngororero,2022-02-21,665000,242787,94109,13,3,0,Normal
Loan2640566,Client158549,Gasabo,2022-02-21,3500000,1225145,278871,14,2,0,Normal
Loan2640714,Client119315,Rusizi,2022-02-21,2000000,1018993,172843,13,3,0,Normal
Loan2640928,Client173102,Kicukiro,2022-02-22,680000,50871,115100,14,3,0,Normal
Loan2641077,Client79021,Rusizi,2022-02-22,950000,232618,136135,13,2,0,Normal
Loan2641216,Client77351,Nyanza,2022-02-23,2980000,248128,266345,13,3,0,Normal
Loan2641249,Client60500,Nyarugenge,2022-02-23,1030000,239829,119766,13,2,0,Normal
Loan2641255,Client132291,Rusizi,2022-02-23,1910000,246366,181305,13,3,0,Normal
Loan2641271,Client48552,Gasabo,2022-02-23,869000,472726,107831,13,2,0,Normal
Loan2641340,Client7623,Rubavu,2022-02-23,1320000,861719,138107,13,2,0,Normal
Loan2641430,Client70292,Ngororero,2022-02-23,440000,1396007,205965,13,2,0,Normal
Loan2641642,Client45992,Nyanza,2022-02-24,2100000,1097189,194380,13,3,0,Normal
Loan2641694,Client49153,Kicukiro,2022-02-24,2430000,259205,231464,13,3,0,Normal
Loan2641854,Client164253,Rubavu,2022-02-24,3500000,120493,175070,14,3,1,Written off
Loan2641857,Client164251,Rubavu,2022-02-24,3500000,120493,175070,14,3,1,Written off
Loan2642064,Client134808,Nyarugenge,2022-02-24,2130000,919854,196698,14,2,1,Written off
Loan2642164,Client49756,Nyanza,2022-02-25,285000,14135,241030,14,2,1,Written off
Loan2642366,Client134369,Kicukiro,2022-02-25,2300000,182432,165559,14,2,0,Normal
Loan2642417,Client68109,Gasabo,2022-02-25,2100000,2003798,307615,13,3,0,Normal
Loan2642465,Client123451,Rutsiro,2022-02-25,750000,49753,103935,13,3,0,Normal
Loan2642590,Client79229,Rubavu,2022-02-25,1300000,891405,171330,13,2,0,Normal
Loan2643703,Client122758,Nyarugenge,2022-02-25,780000,60140,251958,13,3,0,Normal
Loan2643758,Client124452,Nyarugenge,2022-02-25,600000,105432,92613,13,2,0,Normal
Loan2643831,Client130093,Gasabo,2022-02-28,2135000,131929,241203,13,3,0,Normal
Loan2644057,Client133974,Ngororero,2022-02-28,775000,365942,101234,13,2,0,Normal
Loan2644084,Client4666,Ngororero,2022-02-28,1200000,587967,142253,13,2,0,Normal
Loan2644123,Client47332,Ngororero,2022-02-28,2780000,1151433,254924,13,2,0,Normal
Loan2644169,Client127343,Rubavu,2022-02-28,2310000,644314,197147,13,3,0,Normal
Loan2644208,Client58844,Rusizi,2022-02-28,770000,67329,137560,13,3,0,Normal
Loan2644257,Client60056,Rubavu,2022-02-28,950000,605724,112993,13,2,0,Normal
Loan2644385,Client48126,Nyagatare,2022-02-28,1700000,171593,215686,13,2,0,Normal
Loan2644507,Client19185,Nyanza,2022-03-01,1045000,346341,131775,13,2,0,Normal
Loan2644681,Client59153,Rutsiro,2022-03-01,870000,118219,126289,13,2,0,Normal
Loan2644717,Client125641,Nyagatare,2022-03-01,680000,197252,98962,13,2,0,Normal
Loan2644790,Client52957,Kicukiro,2022-03-01,3500000,423630,221970,14,2,0,Normal
Loan2644857,Client112955,Nyamagabe,2022-03-01,2600000,86811,276333,13,2,0,Normal
Loan2645079,Client19512,Nyagatare,2022-03-01,2650000,389757,244066,13,2,0,Normal
Loan2645095,Client111227,HQ,2022-03-01,3500000,2344578,474975,14,2,0,Normal
Loan2645460,Client43481,Rusizi,2022-03-02,850000,801522,152864,13,3,0,Normal
Loan2645733,Client19943,Nyarugenge,2022-03-02,490000,117234,152126,13,2,1,Written off
Loan2645925,Client52607,Nyagatare,2022-03-03,900000,74812,126560,13,2,0,Normal
Loan2645995,Client13118,Nyamagabe,2022-03-03,1200000,1112985,118463,13,3,0,Normal
Loan2646149,Client121974,Nyarugenge,2022-03-03,1590000,251027,199047,13,2,0,Normal
Loan2646164,Client41506,Nyarugenge,2022-03-03,3500000,1304545,330302,13,2,0,Normal
Loan2646457,Client47522,Kicukiro,2022-03-03,2000000,155081,109193,13,2,0,Normal
Loan2646472,Client110177,Rusizi,2022-03-03,2420000,693333,288588,13,3,0,Normal
Loan2646737,Client30046,Nyarugenge,2022-03-04,1800000,678572,108009,13,3,0,Normal
Loan2647112,Client13253,Kicukiro,2022-03-04,930000,107133,141303,13,2,0,Normal
Loan2647595,Client93489,Nyagatare,2022-03-07,880000,129732,119430,13,3,0,Normal
Loan2647601,Client101726,Gasabo,2022-03-07,2890000,1198542,297400,14,2,0,Normal
Loan2647655,Client120800,Nyagatare,2022-03-07,3500000,399240,387988,14,2,0,Normal
Loan2647684,Client159329,Nyarugenge,2022-03-07,600000,568293,119766,14,3,1,Written off
Loan2647939,Client14446,Ngororero,2022-03-08,3100000,581721,277632,13,3,0,Normal
Loan2647973,Client135102,Kicukiro,2022-03-08,2000000,288726,221970,14,3,0,Normal
Loan2647974,Client59678,Ngororero,2022-03-08,950000,704907,102916,13,2,0,Normal
Loan2647996,Client163782,Nyagatare,2022-03-08,1800000,315528,221970,14,3,0,Normal
Loan2648065,Client100239,Ngororero,2022-03-08,850000,227563,106536,13,2,0,Normal
Loan2648071,Client80586,Nyamagabe,2022-03-08,940000,656461,111887,13,2,0,Normal
Loan2648102,Client123041,Ngororero,2022-03-08,2330000,246483,275566,13,3,0,Normal
Loan2648254,Client138190,Kicukiro,2022-03-09,2170000,698854,203417,13,2,0,Normal
Loan2648360,Client25903,Nyamagabe,2022-03-09,1030000,118398,249380,13,2,0,Normal
Loan2648375,Client118280,Rubavu,2022-03-09,790000,110115,114667,13,2,0,Normal
Loan2648477,Client75315,Nyanza,2022-03-09,3500000,1417718,352560,13,2,0,Normal
Loan2648531,Client53001,Rubavu,2022-03-09,1200000,131437,143167,13,3,1,Written off
Loan2648587,Client118262,Rubavu,2022-03-09,865000,227460,121893,13,2,0,Normal
Loan2648602,Client1968,Rubavu,2022-03-09,1050000,145923,122175,13,3,0,Normal
Loan2648604,Client129855,Rusizi,2022-03-09,770000,549712,98270,13,2,0,Normal
Loan2648645,Client76374,Ngororero,2022-03-10,2100000,1617202,226034,13,3,0,Normal
Loan2648800,Client15006,Kicukiro,2022-03-10,1140000,324238,127250,13,3,0,Normal
Loan2648809,Client133611,Nyamagabe,2022-03-10,2400000,184100,200147,13,2,0,Normal
Loan2648906,Client118203,Rubavu,2022-03-10,700000,483711,96793,13,3,0,Normal
Loan2648907,Client165292,Gasabo,2022-03-10,450000,101251,217696,14,1,1,Written off
Loan2649000,Client120276,Kicukiro,2022-03-10,2050000,625042,196896,14,2,0,Normal
Loan2649005,Client122962,Kicukiro,2022-03-10,2070000,159262,188400,14,3,1,Written off
Loan2649220,Client41170,Nyanza,2022-03-11,1030000,562629,117964,13,2,0,Normal
Loan2649285,Client9552,Nyarugenge,2022-03-11,1500000,656059,189603,13,4,0,Normal
Loan2649298,Client174514,Gasabo,2022-03-11,1270000,302167,221970,14,2,0,Normal
Loan2649388,Client121404,Nyarugenge,2022-03-11,790000,295739,309033,13,3,0,Normal
Loan2649501,Client102030,Nyamagabe,2022-03-11,850000,193536,104449,13,3,0,Normal
Loan2649513,Client99487,Nyamagabe,2022-03-11,1020000,302865,257160,14,2,0,Normal
Loan2649613,Client163569,Gasabo,2022-03-11,2910000,1216177,413347,14,2,0,Normal
Loan2649860,Client18959,Rubavu,2022-03-14,1100000,791012,125025,13,3,0,Normal
Loan2649984,Client108605,Rubavu,2022-03-14,840000,173734,113275,13,2,0,Normal
Loan2650006,Client163739,Gasabo,2022-03-14,1650000,167598,330900,14,3,0,Normal
Loan2650032,Client78620,Nyagatare,2022-03-14,2300000,833368,179254,13,3,0,Normal
Loan2650086,Client131188,Nyanza,2022-03-15,1880000,115972,215686,13,3,0,Normal
Loan2650138,Client29711,Kicukiro,2022-03-15,890000,461106,146425,13,2,0,Normal
Loan2650184,Client15952,Nyagatare,2022-03-15,1000000,117308,156175,13,2,0,Normal
Loan2650207,Client65897,Rutsiro,2022-03-15,1890000,204396,180700,13,2,0,Normal
Loan2650220,Client73713,Nyamagabe,2022-03-15,2400000,164703,226995,13,3,0,Normal
Loan2650305,Client108558,Rubavu,2022-03-15,865000,305205,107377,13,2,0,Normal
Loan2650349,Client42158,Rubavu,2022-03-15,3500000,2729093,266974,13,2,0,Normal
Loan2650438,Client155605,Nyagatare,2022-03-15,750000,151810,288171,13,3,0,Normal
Loan2650461,Client18307,Nyagatare,2022-03-15,2280000,386699,262806,13,3,0,Normal
Loan2651570,Client66723,Rubavu,2022-03-16,2615000,743845,234223,13,2,0,Normal
Loan2651671,Client95392,Rusizi,2022-03-16,2310000,309577,242305,13,3,0,Normal
Loan2651753,Client141051,Nyagatare,2022-03-16,1850000,159770,175915,13,3,0,Normal
Loan2651817,Client143558,Gasabo,2022-03-16,1369000,246022,232545,14,3,0,Normal
Loan2651818,Client155435,Nyagatare,2022-03-16,30000,522579,170215,14,3,0,Normal
Loan2651858,Client111690,Rubavu,2022-03-17,2560000,1069621,238996,13,2,0,Normal
Loan2651912,Client143002,Rutsiro,2022-03-17,1915000,603882,182220,13,3,0,Normal
Loan2651917,Client38933,Gasabo,2022-03-17,1000000,848381,119766,13,2,0,Normal
Loan2652034,Client64995,Rusizi,2022-03-17,3250000,2420672,241137,14,3,0,Normal
Loan2652166,Client63797,Rusizi,2022-03-17,3250000,1648020,326539,13,3,0,Normal
Loan2652272,Client14282,Rubavu,2022-03-18,1199000,748261,130049,13,2,0,Normal
Loan2652369,Client81588,Nyarugenge,2022-03-18,970000,801947,108898,13,2,0,Normal
Loan2652465,Client130854,Kicukiro,2022-03-18,2070000,304987,175070,14,3,1,Written off
Loan2652520,Client23464,Nyarugenge,2022-03-18,1000000,166360,118341,13,3,0,Normal
Loan2653069,Client24790,Rusizi,2022-03-21,1000000,387601,119251,13,3,0,Normal
Loan2653177,Client125464,Rusizi,2022-03-22,770000,293654,101120,13,3,0,Normal
Loan2653268,Client4742,HQ,2022-03-22,3500000,4052875,133129,13,2,0,Normal
Loan2653282,Client3807,Rusizi,2022-03-22,3330000,2481240,175922,13,3,0,Normal
Loan2653372,Client142101,Rubavu,2022-03-22,1300000,246096,157905,13,3,0,Normal
Loan2653664,Client45191,Gasabo,2022-03-23,1180000,293716,288577,14,3,1,Written off
Loan2653754,Client163835,Kicukiro,2022-03-23,700000,1236631,227057,14,3,1,Written off
Loan2653971,Client78667,Nyagatare,2022-03-23,2250000,89846,216817,13,3,0,Normal
Loan2654185,Client13597,Rutsiro,2022-03-24,1330000,701781,116916,13,3,0,Normal
Loan2654208,Client19675,Rutsiro,2022-03-24,1000000,907157,119124,13,3,0,Normal
Loan2654459,Client7489,Rusizi,2022-03-24,1220000,215225,156871,13,2,0,Normal
Loan2654746,Client127928,Nyanza,2022-03-25,768000,174737,107288,13,3,0,Normal
Loan2654805,Client100160,Nyanza,2022-03-25,2950000,909136,306190,13,3,0,Normal
Loan2655027,Client133595,Nyamagabe,2022-03-25,660000,343382,93390,13,2,0,Normal
Loan2655043,Client109301,Kicukiro,2022-03-25,2500000,715520,253520,13,3,0,Normal
Loan2655162,Client163802,Nyarugenge,2022-03-25,2100000,158516,201611,14,2,0,Normal
Loan2655172,Client43742,Rubavu,2022-03-25,1320000,1019230,138107,13,2,0,Normal
Loan2655262,Client1663,Rubavu,2022-03-25,1600000,1192655,171431,13,2,1,Written off
Loan2655515,Client91361,Rubavu,2022-03-28,2610000,484094,276500,13,2,0,Normal
Loan2655598,Client5524,Rusizi,2022-03-28,950000,726697,151538,13,3,0,Normal
Loan2656046,Client19980,Nyagatare,2022-03-28,1100000,365910,122475,13,3,0,Normal
Loan2656056,Client134104,Nyagatare,2022-03-28,750000,234855,212633,13,3,0,Normal
Loan2656058,Client158142,Ngororero,2022-03-28,720000,470,135999,14,3,1,Written off
Loan2656059,Client119974,Rubavu,2022-03-28,1000000,641412,188306,14,2,1,Written off
Loan2656078,Client57602,Nyarugenge,2022-03-28,950000,723504,113648,13,2,0,Normal
Loan2656089,Client134966,Gasabo,2022-03-28,950000,250409,221970,14,3,0,Normal
Loan2656140,Client82380,Ngororero,2022-03-29,2350000,501324,284258,13,2,0,Normal
Loan2656400,Client2972,Nyamagabe,2022-03-29,2400000,847664,262972,13,2,0,Normal
Loan2656507,Client12389,Rusizi,2022-03-29,1200000,268871,129949,13,3,0,Normal
Loan2656714,Client166973,Kicukiro,2022-03-29,2500000,449658,221970,14,3,0,Normal
Loan2656748,Client132951,Rubavu,2022-03-29,1870000,383877,214307,13,3,0,Normal
Loan2656785,Client120708,Nyagatare,2022-03-29,2400000,265258,226317,13,2,0,Normal
Loan2656806,Client73927,Rusizi,2022-03-29,877000,670857,108414,13,2,0,Normal
Loan2656813,Client16437,Nyagatare,2022-03-29,1130000,459631,155809,13,3,0,Normal
Loan2656910,Client40195,Ngororero,2022-03-30,2380000,878752,227637,13,3,0,Normal
Loan2656955,Client163216,Kicukiro,2022-03-30,680000,45936,235900,14,3,0,Normal
Loan2656965,Client93084,Kicukiro,2022-03-30,2430000,231796,271381,13,3,0,Normal
Loan2657022,Client164581,Nyanza,2022-03-30,2240000,538497,182212,14,2,0,Normal
Loan2657146,Client18330,Nyamagabe,2022-03-30,1100000,931970,122804,13,2,0,Normal
Loan2657269,Client101809,Nyagatare,2022-03-30,2700000,1607176,247866,13,2,0,Normal
Loan2657362,Client62594,Rubavu,2022-03-30,2348000,939061,233991,13,3,0,Normal
Loan2657450,Client147439,Rubavu,2022-03-30,700000,309551,117794,13,3,0,Normal
Loan2657573,Client49728,Nyamagabe,2022-03-31,2200000,1614520,189420,14,2,0,Normal
Loan2657610,Client126050,Kicukiro,2022-03-31,1370000,570792,94100,14,3,0,Normal
Loan2657630,Client155621,Nyagatare,2022-03-31,750000,57027,98962,13,3,0,Normal
Loan2657674,Client124013,Gasabo,2022-03-31,770000,164123,128981,13,3,0,Normal
Loan2657678,Client117944,Rusizi,2022-03-31,2440000,353342,248770,13,3,0,Normal
Loan2657794,Client150593,Rusizi,2022-03-31,2160000,672705,204141,13,2,0,Normal
Loan2657857,Client150625,Rubavu,2022-03-31,775000,42590,101163,13,2,0,Normal
Loan2657890,Client42860,Rutsiro,2022-03-31,1150000,882344,126996,13,3,0,Normal
Loan2657913,Client54640,Gasabo,2022-03-31,2940000,1939596,270626,13,2,0,Normal
Loan2657915,Client57156,Rusizi,2022-03-31,970000,692501,104510,13,2,0,Normal
Loan2658013,Client2053,Rubavu,2022-04-01,2700000,2038787,288221,13,2,0,Normal
Loan2658224,Client26017,Ngororero,2022-04-01,2375000,1157059,226845,13,2,0,Normal
Loan2658342,Client139272,Nyanza,2022-04-01,1890000,664421,199219,13,3,0,Normal
Loan2658361,Client84670,Gasabo,2022-04-01,3000000,1939493,270626,13,2,0,Normal
Loan2658372,Client132706,Nyanza,2022-04-01,768000,62633,100041,13,3,0,Normal
Loan2658625,Client29588,Nyanza,2022-04-01,2730000,842253,273704,13,2,0,Normal
Loan2658967,Client111568,Gasabo,2022-04-01,550000,20749,175070,14,1,1,Written off
Loan2659084,Client120332,Gasabo,2022-04-01,750000,647508,101543,13,3,0,Normal
Loan2659130,Client174912,Gasabo,2022-04-01,2050000,193929,220208,14,2,1,Written off
Loan2659131,Client163527,Gasabo,2022-04-01,1600000,483436,175070,14,2,1,Written off
Loan2659217,Client59924,Ngororero,2022-04-04,920000,689712,101491,13,2,0,Normal
Loan2659325,Client77771,Rutsiro,2022-04-04,2980000,1963815,268726,13,1,0,Normal
Loan2659629,Client1293,Nyanza,2022-04-04,800000,496469,120506,13,3,0,Normal
Loan2659736,Client88903,Rubavu,2022-04-04,2820000,1754612,257953,13,3,0,Normal
Loan2659743,Client111612,Gasabo,2022-04-04,2100000,417282,239410,13,3,0,Normal
Loan2659850,Client139697,Rubavu,2022-04-04,2150000,76295,237940,13,3,0,Normal
Loan2660047,Client58021,Rubavu,2022-04-04,2980000,1577397,268446,13,2,0,Normal
